name,Lat,Longitude,Height,Description
gimba,10.9212,39.2954,2,9 to 10
sayint secondary and prepartor,11.029,38.7728,2,9 to 12
Guameda,11.135,38.6383,2,9 to 10
Walelgne Mekonnen Sec.,10.7506,38.7546,2,9 to 10
Tewo seta secondery school,10.7163,38.6681,2,9 to 10
Borena Mesenado,10.7511,38.7519,2,9 to 12
Bili A/T 2/ Dr,10.8416,38.801,2,9 to 10
Kelela Mesenado,10.5812,38.9832,2,9 to 12
Abate weha,10.47302122,38.89621994,2,9 to 10
Degolo mesenado,10.4288149,39.2560118,2,9 to 12
Fuje genaral secondary school,10.5225391,39.2773747,2,9 to 10
keyafer genaral secondary scho,10.3739589,39.3492444,2,9 to 10
Bita Jegeno,10.4434048,39.2321925,2,9 to 10
Legegora,10.8197,39.4598,2,9 to 12
wereilu General& Mesenado,10.6021,39.4321,2,9 to 12
kolmbe,10.83048417,39.47776458,2,9 to 10
Wogedi,10.5885458,38.7497878,2,9 to 12
Gorenj General Sec,10.4847948,38.7054758,2,9 to 10
Lemi,10.675285,38.8481506,2,9 to 10
Makefet,10.4858,38.7052,2,9 to 10
Densa,10.9249,38.6715,2,9 to 12
worke mawecha,10.9825,38.7485,2,9 to 10
Almaz Bem,10.7073,39.2771,2,9 to 12
Shekefe,10.6454,39.3324,2,9 to 10
milinum komebolcha seconedery,11.09154711,39.73509676,2,8 to 12
Worebabo,11.3366156,39.7717697,2,9 to 12
Bokkesa,11.4428,39.8833,2,9 to 10
Mida Modele Service,10.2099468,39.0877154,2,9 to 12
Edegete behiberete,10.20404445,39.05448912,2,9 to 10
Fetera,10.00951383,38.87418836,2,9 to 10
Arbegnoch,10.02207085,39.04112672,2,9 to 10
Zeyta,10.0079,38.8867,2,9 to 10
Enwary,9.89449,39.1434,2,9 to 12
Jehure,10.0166,39.2484,2,1 to 10
Mehal Meda,10.3135,39.6677,2,9 to 12
wozed secondery scool,10.299,39.5567,2,9 to 10
Tsehay sena,10.4859,39.781,2,9 to 10
Rabel,10.5531,39.6015,2,9 to 12
